Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2551,On the Road,Jack Kerouac,"Kerouac, Jack",,"=""0143036386""","=""9780143036388""",0,3.61,Penguin Books,Paperback,311,2005,1957,,2009/01/20,to-read,to-read (#49),to-read,,,,0,0
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir","=""""","=""""",0,3.94,Vintage,Paperback,255,2001,1925,,2020/12/01,to-read,to-read (#873),to-read,,,,0,0
2052,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,"Chandler, Raymond",,"=""0394758285""","=""9780394758282""",0,3.94,Vintage Crime,Paperback,231,1988,1939,,2011/08/19,to-read,to-read (#166),to-read,,,,0,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0743273567""","=""9780743273565""",0,3.93,Scribner,Paperback,180,1925,1925,,2009/10/30,to-read,to-read (#81),to-read,,,,0,0
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",0,3.87,Penguin,Paperback,368,1995,1955,,2009/01/20,to-read,to-read (#68),to-read,,,,0,0
228345,The Orchid Thief,Susan Orlean,"Orlean, Susan",,"=""044900371X""","=""9780449003718""",0,3.66,Ballantine Books,Paperback,300,2000,1998,,2020/12/18,to-read,to-read (#909),to-read,,,,0,0
52769189,Bluebeard's First Wife,Ha Seong-nan,"Seong-nan, Ha",Janet Hong,"=""1948830175""","=""9781948830171""",0,3.77,Open Letter,Paperback,243,2020,2002,,2020/12/16,to-read,to-read (#908),to-read,,,,0,0
50772002,The Law of Lines,Hye-Young Pyun,"Pyun, Hye-Young",Sora Kim-Russell,"=""194892496X""","=""9781948924962""",0,3.21,Arcade,Hardcover,288,2020,2015,,2020/12/16,to-read,to-read (#907),to-read,,,,0,0
46041199,"Kim Jiyoung, Born 1982",Cho Nam-Joo,"Nam-Joo, Cho",Jamie Chang,"=""1631496700""","=""9781631496707""",0,4.16,Liveright,Hardcover,163,2020,2016,,2020/12/16,to-read,to-read (#906),to-read,,,,0,0
52322846,"b, Book, and Me",Kim Sagwa,"Sagwa, Kim",Sunhee Jeong,"=""1931883963""","=""9781931883962""",0,3.36,Two Lines Press,Paperback,160,2020,2011,,2020/12/16,to-read,to-read (#905),to-read,,,,0,0
23697987,White Hunger,Aki Ollikainen,"Ollikainen, Aki","Emily Jeremiah, Fleur Jeremiah","=""1908670207""","=""9781908670205""",0,3.56,Peirene Press,Paperback,136,2015,2012,,2020/12/16,to-read,to-read (#904),to-read,,,,0,0
41944778,Children of The Cave,Virve Sammalkorpi,"Sammalkorpi, Virve","Emily Jeremiah, Fleur Jeremiah","=""1908670509""","=""9781908670502""",0,3.59,Peirene Press,Paperback,176,2019,2016,,2020/12/16,to-read,to-read (#903),to-read,,,,0,0
56142543,Fields of Joy,Zhou Daxin,"Daxin, Zhou",,"=""1910760943""","=""9781910760949""",0,3.60,Sinoist Books,Paperback,320,2020,2012,,2020/12/16,to-read,to-read (#902),to-read,,,,0,0
2036481,An Instant In The Wind,André Brink,"Brink, André",,"=""074939921X""","=""9780749399214""",0,4.06,Minerva,Paperback,256,1998,1975,,2020/12/16,to-read,to-read (#901),to-read,,,,0,0
484422,Wuthering Heights,Emily Brontë,"Brontë, Emily",,"=""0140430016""","=""9780140430011""",1,3.90,Penguin Books,Paperback,373,1965,1847,,2009/01/24,trash,trash (#14),trash,,,,0,0
50185600,Apeirogon,Colum McCann,"McCann, Colum",,"=""1400069602""","=""9781400069606""",0,4.25,Random House,Hardcover,463,2020,2019,,2020/12/11,to-read,to-read (#899),to-read,,,,0,0
50186866,Sisters,Daisy Johnson,"Johnson, Daisy",,"=""1787331628""","=""9781787331624""",0,3.47,Jonathan Cape,Hardcover,186,2020,2020,,2020/12/11,to-read,to-read (#898),to-read,,,,0,0
5330534,Mimes,Marcel Schwob,"Schwob, Marcel",A. Lenalie,"=""""","=""""",0,4.07,Thomas B. Mosher,Hardcover,98,1901,1893,,2020/12/11,to-read,to-read (#897),to-read,,,,0,0
52855542,That Old Country Music,Kevin Barry,"Barry, Kevin",,"=""0385540337""","=""9780385540339""",0,3.90,Doubleday,Hardcover,191,2021,2020,,2020/12/11,to-read,to-read (#896),to-read,,,,0,0
40060700,The Old Drift,Namwali Serpell,"Serpell, Namwali",,"=""1781090491""","=""9781781090497""",0,3.73,Hogarth,Hardcover,576,2019,2019,,2020/12/05,to-read,to-read (#895),to-read,,,,0,0
636223,Ice,Anna Kavan,"Kavan, Anna",,"=""0720612683""","=""9780720612684""",0,3.65,Peter Owen Publishers,Paperback,158,2016,1967,,2020/12/05,to-read,to-read (#894),to-read,,,,0,0
48468,The Violent Bear It Away,Flannery O'Connor,"O'Connor, Flannery",,"=""0374505241""","=""9780374505240""",0,4.07,"Farrar, Straus and Giroux",Paperback,256,1960,1960,,2020/12/05,to-read,to-read (#893),to-read,,,,0,0
26596,"E.E. Cummings: Complete Poems 1904-1962 (Revised, Corrected, and Expanded Edition)",E.E. Cummings,"Cummings, E.E.",George J. Firmage,"=""0871401525""","=""9780871401526""",0,4.35,"Liveright/W.W. Norton & Company, Inc.",Hardcover,1136,1994,1991,,2020/12/05,to-read,to-read (#892),to-read,,,,0,0
188087,The Garden Party and Other Stories,Katherine Mansfield,"Mansfield, Katherine",Lorna Sage,"=""0140188800""","=""9780140188806""",0,3.80,Penguin Group USA,Paperback,159,1998,1922,,2020/12/05,to-read,to-read (#891),to-read,,,,0,0
269589,The Cantos,Ezra Pound,"Pound, Ezra",,"=""0811213269""","=""9780811213264""",0,3.92,New Directions,Paperback,824,1996,1970,,2020/12/05,to-read,to-read (#890),to-read,,,,0,0
333538,The Castle,Franz Kafka,"Kafka, Franz",Mark Harman,"=""0805211063""","=""9780805211061""",0,3.92,Schocken,Paperback,328,1998,1926,,2020/12/05,to-read,to-read (#889),to-read,,,,0,0
138042,For Whom the Bell Tolls (Scribner Classics),Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",0,3.99,Scribner,Hardcover,496,1996,1940,,2020/12/05,to-read,to-read (#888),to-read,,,,0,0
22904,The Complete Stories,Franz Kafka,"Kafka, Franz","John Updike, Nahum N. Glatzer, Willa Muir, Edwin Muir, Tania Stern, James Stern, Ernst Kaiser, Eithne Wilkins","=""""","=""""",0,4.33,Schocken,Paperback,486,1995,1911,,2020/12/05,to-read,to-read (#887),to-read,,,,0,0
